title, author, rating, format, price, year
Mission Improbable (Carrie Hatchett, Space Adventurer Series Book 1),J.J. Green,4.1 out of 5 stars, ,0.00,2015
The complete novels of Charles Dickens,Charles Dickens,4.6 out of 5 stars, ,0.00,
Two Tocks before Midnight: A 19th Century Historical Murder Mystery Novella (The Agora Mystery Series Book 1),Clay Boutwell,4.4 out of 5 stars, ,0.00,2012
The Secret Orphan: A gripping historical novel,Glynis Peters,4.4 out of 5 stars, ,0.99,2018
The Wrong Side of Goodbye (A Harry Bosch Novel Book 19),Michael Connelly,4.7 out of 5 stars, ,9.99,2016
Silk Road: A haunting story of adventure, romance and courage,Colin Falconer,4.2 out of 5 stars, ,0.00,2017
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
Always and Forever: A Sweet & Clean Historical Romance (Second Chance Brides Book 7),Wendy Lindstrom,4.4 out of 5 stars, ,0.00,2016
I'll Always Love Me Some Him (I Love Me Some Him Book 3),Ash Ley,4.9 out of 5 stars, ,0.00,2019
The Tattooist of Auschwitz: A Novel,Heather Morris,4.6 out of 5 stars, ,8.99,2018
The Perfect Family: An unputdownable psychological thriller with a heartstopping twist,Shalini Boland,4.5 out of 5 stars, ,3.99,2018
Thicker than Blood (Thicker than Blood series Book 1),C. J. Darlington,4.5 out of 5 stars, ,0.00,2013
The Final Homestead: EMP Survival in a Powerless World,James Hunt,4.3 out of 5 stars, ,0.00,2019
Trafficked!: A Natalie McMasters Mystery (The Natalie McMasters Mysteries Book 3),Thomas A. Burns,4.4 out of 5 stars, ,0.00,2019
Born To Magic (Tales Of Nevaeh Book 1),David Wind,4.6 out of 5 stars, ,0.00,2015
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
A SLAVE'S SONG,Michael Edwin Q.,4.3 out of 5 stars, ,0.00,2016
The Book Thief,Markus Zusak,4.6 out of 5 stars, ,10.69,2007
Illusion: An Eomix Galaxy Novel (Book 1 of 2),Christa Yelich-Koth,4.5 out of 5 stars, ,0.00,2015
Born To Magic (Tales Of Nevaeh Book 1),David Wind,4.6 out of 5 stars, ,0.00,2015
Writing Fiction: The Practical Guide from New York's Acclaimed Creative Writing School,Gotham Writers' Workshop,4.6 out of 5 stars, ,10.74,2003
Tom Clancy Oath of Office (A Jack Ryan Novel Book 19),Marc Cameron,4.1 out of 5 stars, ,14.99,2018
Uptown Hustle 2: The Saga Continues,La'Mya Morris,4.6 out of 5 stars, ,0.00,2014
The Nightingale: A Novel,Kristin Hannah,4.8 out of 5 stars, ,9.94,2017
An Introduction to Fiction (11th Edition),X. J. Kennedy,4.3 out of 5 stars, ,82.35,2009
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
You're My Kind,Clare Lydon,4.7 out of 5 stars, ,0.00,2019
Soldier of Fortune: A Gideon Quinn Adventure (The Fortune Chronicles Book 1),Kathleen McClure,4.5 out of 5 stars, ,0.00,2015
Cowboy Fairytales: Books 1 & 2,Lacy Williams,4.4 out of 5 stars, ,0.00,2017
The Aliomenti Saga Box Set (Books 1-3),Alex Albrinck,4.1 out of 5 stars, ,0.00,2013
Pretty Broken Girl: An Unconventional Love Story,Jeana E. Mann,4.5 out of 5 stars, ,0.00,2015
